account_username,mentioned_handle,bio_excerpt
francismarionhotel,francismarionweddings,"ndmark since 1924.  @francismarionweddings @historichotels"
francismarionhotel,historichotels,"ancismarionweddings @historichotels"
grand_geneva,grand_geneva," using #GrandGeneva @grand_geneva"
halfevilco,halfevilchicago,"INFO Chicago Retail @halfevilchicago  Customer sevice @"
halfevilco,halfevilsupport,"go  Customer sevice @halfevilsupport"
gildachicago,chefjeremyleven,"Basque Tavern  @chefjeremyleven + @fafo_chicago + "
gildachicago,fafo_chicago," @chefjeremyleven + @fafo_chicago + @baiergrills + @"
gildachicago,baiergrills,"n + @fafo_chicago + @baiergrills + @manzanilla__mam"
gildachicago,manzanilla__mamii,"go + @baiergrills + @manzanilla__mamii"
hotelhaya,florfinafl,"t Ybor City Home to @florfinafl and @cafequiquiriq"
hotelhaya,cafequiquiriqui," to @florfinafl and @cafequiquiriqui Haya live DJ every"
hotelhaya,aparium,"& Saturday night An @aparium Hotel"
hyattchicago,stetsons_chicago," #HyattChicago Dine @stetsons_chicago"
glasshausweddings,loverly," Lake | Featured on @loverly Tree Haus + Bungal"
hyattplacewickerpark,kennedyrooftop,"Wicker Park Home to @kennedyrooftop  Experience Chicag"
gbchicagowestloop,graciebarrachicago.com,"NE 🔺️ Contact: info@graciebarrachicago.com"
hoophall,hoophallclassic," Fame.  HS Hoops ➡️ @hoophallclassic College Hoops ➡️ @"
hoophall,hoophallu,"ic College Hoops ➡️ @hoophallu Greatness lives in"
hyattmauiweddings,hyattmaui,"Maui weddings at @hyattmaui  Oceanfront venues"
grelenweddings,marketatgrelen,"ging in Central VA. @marketatgrelen | @boxwoodvilla | "
grelenweddings,boxwoodvilla,". @marketatgrelen | @boxwoodvilla | @spotswoodlodge "
grelenweddings,spotswoodlodge,"n | @boxwoodvilla | @spotswoodlodge | @grelendepot | @"
grelenweddings,grelendepot,"| @spotswoodlodge | @grelendepot | @carolinesthouse"
grelenweddings,carolinesthouse,"ge | @grelendepot | @carolinesthouse"
grandhotelkronenhof,swissdeluxehotels," nature  since 1848 @swissdeluxehotels"
