account_username,mentioned_handle,bio_excerpt
uclubashley,uccweddings,"ring Sales Manager  @uccweddings  @universityclubof"
uclubashley,universityclubofchicago,"ager  @uccweddings  @universityclubofchicago"
villa_balbiano,theheritagecollection,"rentals and events. @theheritagecollection"
wipachicago,chicagomuseumevents,": September 22nd at @chicagomuseumevents"
waldenweddings_,waldenohio,"More Walden content @waldenohio"
uskcevents,brancatoscatering,"Event Management by @brancatoscatering"
tivoliweddings,trademarkvenues," planning ✨ Part of @trademarkvenues"
villamediceadililliano,malenchiniwinery,"lls - Florence 🇮🇹 @malenchiniwinery  Explore the estat"
whiteeaglegolfclub,weddingswhiteeagle,"ok at our weddings! @weddingswhiteeagle"
xocohousegallery,gmail.com,"Events 📪xocohouse18@gmail.com 📍Pilsen  Chicago "
