account_username,mentioned_handle,bio_excerpt
ivyhotelchicago,skyterracechicago,"ago // Rooftop Bar: @skyterracechicago"
streetervillesocial,loewschicagohotel,"ce in Streeterville @loewschicagohotel"
victoriainthepark,victoriavenues,"bar) for any event! @victoriavenues  @theknot @styleme"
victoriainthepark,theknot,"t! @victoriavenues  @theknot @stylemepretty @ch"
victoriainthepark,stylemepretty,"riavenues  @theknot @stylemepretty @chicagostyleweddi"
victoriainthepark,chicagostyleweddings,"knot @stylemepretty @chicagostyleweddings Vendor ✨🎀 🥳 Book"
lhrooftop,lhchicago,"fficial IG account: @lhchicago  [This account is "
vurooftop,atomichospitality," Loop  Chicago | by @atomichospitality"
azureatshedd,shedd_aquarium,"Azure at @shedd_aquarium offers stunning vi"
zachbrakephotography,zach_brake,"rs of Photography | @zach_brake Light  Photojourna"
zachbrakephotography,peerspace," 12 Photographer by @peerspace  As seen in @modlu"
zachbrakephotography,modluxweddingschi,"erspace  As seen in @modluxweddingschi"
tettochicago,atomichospitality," Loop  Chicago | by @atomichospitality"
musicboxchicago,musicboxlounge,"ic films.  🍹 Visit @musicboxlounge “a bar just for yo"
claireandpeter,the.team,"texas claireandpeter@the.team"
hotelzachary,almahotelzachary,"Field ✨  🥂 Home to @almahotelzachary on the 2nd Floor"
