account_username,mentioned_handle,bio_excerpt
cindysrooftop,chicagoathletichotel,"n the 13th floor of @chicagoathletichotel in a glass atrium."
natalieprobst,natalieprobst.com,"rn couple 📧 natalie@natalieprobst.com"
mayahleephotography,mlp.associates,"all love is welcome @mlp.associates"
fairmontchicago,fairmonthotels," and entertainment. @fairmonthotels @torochicago  @lea"
fairmontchicago,torochicago,"nt. @fairmonthotels @torochicago  @leafspas"
fairmontchicago,leafspas,"otels @torochicago  @leafspas"
eventsbyshaunrajah,people,"tion  📸 As seen in @people | @loverly Top Pla"
eventsbyshaunrajah,loverly,"s seen in @people | @loverly Top Planner"
bweddingschicago,modluxweddingschi," & Italy | Featured @modluxweddingschi @chicagostyleweddi"
bweddingschicago,chicagostyleweddings," @modluxweddingschi @chicagostyleweddings @destinationido"
bweddingschicago,destinationido,"hicagostyleweddings @destinationido"
mercytheofficiant,noviasycafecito,"onal 🤎 Founder of  @noviasycafecito"
cabrachicago,stephanieizard,"🐐 By @stephanieizard of @girl.and.the.g"
cabrachicago,girl.and.the.goat," @stephanieizard of @girl.and.the.goat 🦐🍹 Shareable  Pe"
cabrachicago,thehoxtonhotel," Skyline views from @thehoxtonhotel"
highlandlofteventvenue,thehighlandloftevents.com,"ntown Elgin  IL Info@thehighlandloftevents.com Book a private tou"
colettemariephoto,colettemarieboudoir," Families | Boudoir @colettemarieboudoir ✦ Documentary-insp"
ravenswood_workcenter,harringtonbrownllc," Lease 312-543-6782 @harringtonbrownllc"
raisedbarchicago,renchicagodowntown,"views of Chicago. 📍@renchicagodowntown"
standardonstate,standardonstate.com,"815)540-2263 💌 info@standardonstate.com NOW OFFERING VIRTU"
