account_username,mentioned_handle,bio_excerpt
smackinntownmke,gmail.com,"mail smackinntownmke@gmail.com TAP IN WITH @smack"
smackinntownmke,smackthamic,"ail.com TAP IN WITH @smackthamic .💯🤝🏾"
skyterracechicago,IvyHotelChi,"l  📍Located at the @IvyHotelChi /#ivyskyterrace"
stmarychicago,frdavidhanna,". Mary is the Best. @frdavidhanna"
somersetchicago,viceroychicago.,"  inviting space at @viceroychicago."
supshaay,thejoinerychicago,"YAWN. @thejoinerychicago @sustainableevents"
supshaay,sustainableeventscollective," @thejoinerychicago @sustainableeventscollective"
snowbasinweddings,snowbasin.com,"tact info:  weddings@snowbasin.com  801.620.1075"
space_court_,fredreally_drocup," showcase hosted by @fredreally_drocup @soup_the_fifth & "
space_court_,soup_the_fifth," @fredreally_drocup @soup_the_fifth & @iamstillcameron"
space_court_,iamstillcameron,"p @soup_the_fifth & @iamstillcameron LAST MONDAY OF DA "
thealston_chicago,jennertomaska,"chelin-starred chef @jennertomaska  Restaurant | Even"
thebitterendnyc,bitterend.com,"gs  email us at info@bitterend.com"
