account_username,mentioned_handle,bio_excerpt
offhoursbeerco,otherhalfnyc,"By @otherhalfnyc & @ramovachicago  "
offhoursbeerco,ramovachicago,"By @otherhalfnyc & @ramovachicago  Open Wednesday - "
trumpchicago,terrace16chicago,"Five Star property. @terrace16chicago @rebar_chicago @tr"
trumpchicago,rebar_chicago,". @terrace16chicago @rebar_chicago @trumpchicagospa_f"
trumpchicago,trumpchicagospa_fitnessclub,"cago @rebar_chicago @trumpchicagospa_fitnessclub #NeverSettle"
emkatherinephoto,emkatherinestudio,"Chicago  IL Studio: @emkatherinestudio"
yayitskatyy,kerricarlquist,"te Photographer for @kerricarlquist  Yay for your best"
marshallslanding,episcope.hospitality,"d events  ⠀⠀⠀⠀⠀⠀⠀⠀⠀ @episcope.hospitality"
alexferreriphoto,alexferreri.com,"| Mod Luxury 📩hello@alexferreri.com Info  Contact  Blo"
lhchicago,CurioCollection,"cker Drive. Part of @CurioCollection by Hilton."
chicagogaelicpark,cgpirishfest,"🎶Home to @cgpirishfest  ☘️ Irish music  s"
kissthismakeup,miss.kiss.this,"SE/Central FL Owner @miss.kiss.this ⬇️ Inquire"
radissonbluaquachicago,firelakechicago," offerings. Home to @firelakechicago"
nicolemoriscophotography,gmail.com,"er  💌 nicolemorisco@gmail.com  IL • FL • WI + be"
pilotprojectbrewing,pilotprojectmke,"elationship Status: @pilotprojectmke"
westloopweddingwalk,urbanallureevents,"condBestDayEver c/o @urbanallureevents"
olivefineweddings,olivefineweddings.com,"hicagoland 📩 olivia@olivefineweddings.com"
