account_username,mentioned_handle,bio_excerpt
sofitelchicago,all.,"indsMeet. Member of @all. The limitless hote"
rebeccahaleyphotography,marina.rebeccahaley,"🌈All are welcome 🪩@marina.rebeccahaley"
northshorecountryclub,northshorecc_grounds,"eur🏌🏼🌟 Grounds🌳 @northshorecc_grounds"
sableatnavypier,curiocollection,"⚓️ A @curiocollection by @hilton ✨ Bring"
sableatnavypier,hilton,"@curiocollection by @hilton ✨ Bringing you ele"
sableatnavypier,navypierchicago,"higan 📍 Located on @navypierchicago's East End"
thelocalpetaler,thelocalpetaler.com,"rden inspired~ hello@thelocalpetaler.com Now booking 2026 &"
morninglightfilmco,morninglightfilmco.com,"LM  Inquiries: hello@morninglightfilmco.com"
thedrakeoakbrook,cntraveler,"Voted @cntraveler 2024 Readers' Choi"
thedrakeoakbrook,autographhotels,"he midwest. Part of @autographhotels by Marriott #exact"
