account_username,mentioned_handle,bio_excerpt
agapaeoaksweddings,theknot,"land  SC Find us on @theknot @weddingwire @here"
agapaeoaksweddings,weddingwire,"Find us on @theknot @weddingwire @herecomestheguide"
agapaeoaksweddings,herecomestheguide,"heknot @weddingwire @herecomestheguide"
ardmoremusichall,risingsunphl,"ly's Main Line 🎶🍻 @risingsunphl"
astoriachicago,abc7chicago,"SEEN IN: @abc7chicago| @localish |@chica"
astoriachicago,localish,"N IN: @abc7chicago| @localish |@chicagotribune |"
astoriachicago,chicagotribune,"chicago| @localish |@chicagotribune | @chicago_reader "
astoriachicago,chicago_reader," |@chicagotribune | @chicago_reader | @wgntv | @naperv"
astoriachicago,wgntv,"| @chicago_reader | @wgntv | @napervillemag |"
astoriachicago,napervillemag,"o_reader | @wgntv | @napervillemag |@iheartradio  💌 "
astoriachicago,iheartradio,"v | @napervillemag |@iheartradio  💌 Collab: Astori"
astoriachicago,gmail.com," AstoriaCafe.Chicago@gmail.com"
ashm_weddings,jamhospitality," gem ✨ 🤍 Exclusive @jamhospitality Venue"
acre.wedding,acreresort.com,"your wedding: events@acreresort.com"
bardavonpresents,upaclive,"rating 100 years of @upaclive"
asianfashionshowchi,chiasianwomenempowerment,"by 501c3 non-profit @chiasianwomenempowerment sister program @mi"
asianfashionshowchi,missasianchicago,"ment sister program @missasianchicago"
anthologyevents,anthologyevents.com," Planning: inquiries@anthologyevents.com #anthologyevents"
audubon_weddings,auduboninstitute,"  or luncheon at an @auduboninstitute venue. #AudubonWed"
acreresidency,chicagoartscensus,"hicago <> Steuben🌌 @chicagoartscensus  Explore the first"
aldiemansionweddings,jamhospitality,"ia 🗝️ 🤍 Exclusive @jamhospitality Venue"
bevhillshotel,dorchestercollection,"of Beverly Hills. A @dorchestercollection hotel."
bellacosaweddings,voguemagazine,"e Pierce As seen in @voguemagazine @thewed and @lover"
bellacosaweddings,thewed,"n in @voguemagazine @thewed and @loverly  • • "
bellacosaweddings,loverly,"agazine @thewed and @loverly  • • • Part of @th"
bellacosaweddings,thegilchristcollection,"erly  • • • Part of @thegilchristcollection ✨"
badruttspalace,the50hotels,"lace of St. Moritz. @the50hotels @leadinghotelsofth"
badruttspalace,leadinghotelsoftheworld,"oritz. @the50hotels @leadinghotelsoftheworld @swissdeluxehotels"
badruttspalace,swissdeluxehotels,"inghotelsoftheworld @swissdeluxehotels 🗝️🗝️🗝️ @micheli"
badruttspalace,michelinguide,"uxehotels 🗝️🗝️🗝️ @michelinguide"
bostonharbor_weddings,bostonharborhotel,"nt is now shared on @bostonharborhotel 🤍 Have your speci"
