account_username,mentioned_handle,bio_excerpt
holyfamilycci,holyfamilyinverness,"Find us on FB @holyfamilyinverness"
chadhusar,husarphotography,"ly transitioning to @husarphotography"
naiaontheriver,dineamic,"ant and Event Space @dineamic @davidrekhson @luc"
naiaontheriver,davidrekhson,"ent Space @dineamic @davidrekhson @lucastogram"
naiaontheriver,lucastogram,"eamic @davidrekhson @lucastogram"
rcchicago,toralichicago,"y of Chicago.  🍽️: @toralichicago"
albanycapture,zola,"TOP 10 in Chicago - @zola"
pollyannabrewingcompany,pollyannasocial,"�𝘰 – 𝘴𝘰𝘰𝘯 🧨 ✶ @pollyannasocial  ✶ @pollyannacoffe"
pollyannabrewingcompany,pollyannacoffeeroasting,"@pollyannasocial  ✶ @pollyannacoffeeroasting  ✶ @pollyannabrewi"
pollyannabrewingcompany,pollyannabrewingstcharles,"nacoffeeroasting  ✶ @pollyannabrewingstcharles ✶ @pollyannabrewin"
pollyannabrewingcompany,pollyannabrewingroselle,"abrewingstcharles ✶ @pollyannabrewingroselle"
morgan.mfg,atomichospitality,"t. 📍West Loop | by @atomichospitality"
