account_username,mentioned_handle,bio_excerpt
samschultzphotography,bravespacealliance,"ll bookings support @bravespacealliance  Inquire only thro"
iamaaronbean,evolvestudios,"ship & Strategy for @evolvestudios"
k.lafleurfilms,overthemoon,"le Teams As seen in @overthemoon @stylemepretty @th"
k.lafleurfilms,stylemepretty,"een in @overthemoon @stylemepretty @theknot  Represen"
k.lafleurfilms,theknot,"moon @stylemepretty @theknot  Represented by @f"
k.lafleurfilms,forma_mgmt,"not  Represented by @forma_mgmt"
beatnikrestaurants,bonhommegroup,"e exotic escape via @bonhommegroup"
buddy.chicago,publicmediainstitute,"m Brought to you by @publicmediainstitute"
meredithdonnellyphotography,meredithdonnelly," lives matter  also @meredithdonnelly please no DMs  con"
stregischicago,mirurestaurant,"f Champagne Sabrage @mirurestaurant @treditarestaurant"
stregischicago,treditarestaurant,"age @mirurestaurant @treditarestaurant"
uccweddings,universityclubofchicago,"ow our main account @universityclubofchicago"
chiunionstation,chiunionstation,"in your photos:  📷 @chiunionstation"
loftonlake,sustainableeventscollective," sustainable events @sustainableeventscollective  🌿 Est. 2008  |  "
daniellerosephoto,daniellerosephoto.boudoir," + candid  ✨boudoir @daniellerosephoto.boudoir  inquire ⤵️"
