account_username,mentioned_handle,bio_excerpt
nakaiphotography,kennynakai," Personal Instagram @kennynakai"
djhybridchicago,funktasticproductions,"GS NOW! 🎷🎻🥁🎤 by @funktasticproductions"
alyeskarphotography,alyeskarphotography.families,"oking 2027 Weddings @alyeskarphotography.families"
expatchicago,bonhommegroup,"Bar. Restaurant. By @bonhommegroup"
chitheewed,michellecoxvergara,"ork & Support Owner @michellecoxvergara"
thekodakcollective,thedecordirectory," wherever you are | @thedecordirectory"
mirurestaurant,stregischicago,"y restaurant in the @stregischicago with spectacular v"
unabridged.photo,_anti_bride,"dition  As seen in: @_anti_bride  @nytimes  & @wed_"
unabridged.photo,nytimes,"n in: @_anti_bride  @nytimes  & @wed_vibes 📍Ch"
unabridged.photo,wed_vibes,"_bride  @nytimes  & @wed_vibes 📍Chicago  New Yor"
taochicago,taogrouphospitality,"A @taogrouphospitality Concept | Dynamic "
chezweddingvenue,chez,"info@chez-chicago.com +1 (31"
fiorettasteak,dineamic,"ton Market  Chicago @dineamic @lucastogram @davi"
fiorettasteak,lucastogram,"  Chicago @dineamic @lucastogram @davidrekhson"
fiorettasteak,davidrekhson,"neamic @lucastogram @davidrekhson"
wearewholehearted,brides,"As seen in @brides  @martha_weddings "
wearewholehearted,martha_weddings,"As seen in @brides  @martha_weddings  @stylemepretty  @"
wearewholehearted,stylemepretty,"  @martha_weddings  @stylemepretty  @caratsandcake  @"
wearewholehearted,caratsandcake,"gs  @stylemepretty  @caratsandcake  @insideweddings"
wearewholehearted,insideweddings,"ty  @caratsandcake  @insideweddings"
bradley_moss,_anti_bride,"f your love Seen in @_anti_bride & @togetherjournal"
bradley_moss,togetherjournal,"n in @_anti_bride & @togetherjournal Digital & Film Rep"
bradley_moss,clio.artists,"Film Represented by @clio.artists"
thepeninsulachi,thepeninsulachi.,"nMoments by tagging @thepeninsulachi. A @peninsulahotels"
thepeninsulachi,peninsulahotels,"@thepeninsulachi. A @peninsulahotels property."
theateronthelakechicago,thelakefrontrestchi.,"round dining at our @thelakefrontrestchi."
