account_username,mentioned_handle,bio_excerpt
msichicago,griffinmsi.,"ustry? We’re now at @griffinmsi."
orsosrestaurant,theknot,"ddings Hall of Fame @theknot"
mercurymusiclounge,mercurymusiclakewood.com,"ooking Info: booking@mercurymusiclakewood.com"
millenium.park,TerraDevelopers,"er Otro proyecto de @TerraDevelopers"
paramountsmeyerballroom,ParamountAurora,"ace to Say I Do  🎭 @ParamountAurora 💕 We service coup"
palmerhouseinn,palmerhouseinn,"Massachusetts  USA. @palmerhouseinn #palmerhouseinn"
parkwinters,parkwintersflowerfarm,"h  Flower Farm Also @parkwintersflowerfarm 👨🏽‍🌾"
mashannarbor,a2funhouse,"c Fri-Sat 8pm-2am | @a2funhouse  | Rare Whiskey | "
northpondchi,chef.cesarmurillo,"Top Chef Contestant @chef.cesarmurillo  📍Lincoln Park"
oasisatdeathvalleyweddings,oasisatdeathvalley,"art of Death Valley @oasisatdeathvalley"
moesalley,goodtimessc,"in Santa Cruz  CA 🏆@goodtimessc 2026 BEST🥇Live Mu"
moesalley,scsentinel,"�Dance Club🥇Bar // @scsentinel RC 2025🥇Best Live"
paradisostmoritz,badruttspalace," & mountain club by @badruttspalace 💙 Experience life"
modernluxury,modernluxuryinteriors,"e  Interiors & More @modernluxuryinteriors"
