account_username,mentioned_handle,bio_excerpt
thebassmentchi,parkerhospitality,"ursday- Saturday✨ A @parkerhospitality Concept"
duckinnchicago,chefhickey,"rhood Mainstay from @chefhickey  @_barkeep_ & @chi"
duckinnchicago,_barkeep_,"y from @chefhickey  @_barkeep_ & @chiliconcollin "
duckinnchicago,chiliconcollin,"ickey  @_barkeep_ & @chiliconcollin  James Beard Outst"
thedolemansion,farmersmarketatd,"able organization | @farmersmarketatd"
swiftandsons,bokarestaurantgroup,"_ Brought to you by @bokarestaurantgroup and Chef  Chris Pa"
threetoplounge,saltshedchicago.,"he highest point of @saltshedchicago. a @16occhicago pro"
threetoplounge,16occhicago,"@saltshedchicago. a @16occhicago project"
rgc1893,rgc1893.org,"6 (708)447-3700 info@rgc1893.org"
silverlake_cc,invitedclubs,"ing • Social Events @invitedclubs"
arranmorefarmandpoloclub,arranmore.events,"𝖠𝖢𝖪 𝖫𝖴𝖷𝖴𝖱𝖸 @arranmore.events"
secondskin_beauty,jenurrrrz,"our second skin MUA @jenurrrrz  Midwest-based | A"
secondskin_beauty,gmail.com,"tact: secondskin.BTY@gmail.com"
victoriavenues,victoriainthepark,"other celebrations! @victoriainthepark  @missionhillsclub"
victoriavenues,missionhillsclub,"@victoriainthepark  @missionhillsclub @whiteeagleconvent"
victoriavenues,whiteeagleconventioncenter,"  @missionhillsclub @whiteeagleconventioncenter"
