account_id,url,note
31,https://www.galleriamarchetti.com/,golden
477,https://greenhouseloft.com/,golden
27389,https://www.diamondgardenhall.com/,golden
2785,https://londonhousechicago.com/weddings,golden
1131,https://www.fieldmuseum.org/page/weddings,golden
507,https://www.thegeraghty.com/,golden
3093,http://chezweddingvenue.com/,must-not 11
484,http://www.thejoinerychicago.com/,must-not 99
4420,https://www.thedrakehotel.com/weddings/plan-your-wedding/,must-not 478
687,https://www.adlerplanetarium.org/venue-rentals/,must-not 480
1329,https://www.chicagobotanic.org/private-events,must-not 481
97,https://www.langhamhotels.com/en/the-langham/chicago/events/weddings/,must-not 483
3940,https://www.peninsula.com/en/chicago/events/hotel-wedding-venues-chicago,must-not 484
129,https://www.chicagoathletichotel.com/weddings,must-not 492
1923,https://www.fourseasons.com/chicago/weddings/,must-not 494
775,https://www.riverroastchicago.com/,must-not 525
